"Data Scientist Paris
Company Name
Amazon Web Services (AWS)
Company Location
Courbevoie, FR
Posted Date
Posted 2 days ago
Number of views
262 views",Data Scientist Paris,Amazon Web Services (AWS),"Courbevoie, FR","Description

Excited by Big Data, Machine Learning and Predictive Software? Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data?
At AWS, we are developing state-of-the-art large-scale Machine Learning Services and Applications on the Cloud involving large amounts of data. We work on applying predictive technology to a wide spectrum of problems. We are looking for talented and experienced Machine Learning Scientists who can apply innovative Machine Learning techniques to real-world problems. You will get to work in a team dedicated to advancing Machine Learning solutions at AWS and converting it to business-impacting solutions.

Major responsibilities
Use machine learning, data mining and statistical techniques to create new, scalable solutions for business problems
Analyze and extract relevant information from business data to help automate and optimize key processes
Design, develop and evaluate highly innovative models for predictive learning
Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation
Research and implement novel machine learning and statistical approaches

Basic Qualifications
An MS/PhD in CS, Machine Learning, Operational research, Statistics or in a highly quantitative field. PhD strongly preferred.
4+ years of industry experience in predictive modeling and analysis, predictive software development
Strong Problem solving ability
Good skills with programming languages, such as Java or C/C++
Experience using Python and/or R
Experience using machine learning libraries, such as scikit-learn, caret, mlr, mllib
Experience in mentoring junior team members, and guiding them on machine learning and data modeling applications
Strong communication and data presentation skills
Ability to travel to client locations when needed.
Preferred Qualifications
6+ years of industry experience in predictive modeling and analysis, predictive software development
Experience handling terabyte size datasets
Experience working with distributed systems and grid computing
Publications or presentation in recognized Machine Learning and Data Mining journals/conferences

Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy/eu ) to know more about how we collect, use and transfer the personal data of our candidates.

aws-proserv-ea
AWS_PROFESSIONAL_SERVICES ** Amazon aims to be the most customer centric company on earth. Amazon Web Services (AWS) provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers critical applications for hundreds of thousands of businesses in 190 countries around the world.

Company - AWS EMEA SARL (France Branch)
Job ID: A872752
Industry
Computer Software Information Technology & Services Internet
Employment Type
Full-time
Job Functions
Research Science Engineering"
"Data Scientist (EMEA)
Company Name
Databricks
Company Location
Paris, FR
Posted Date
Posted 2 weeks ago
Number of views
968 views",Data Scientist (EMEA),Databricks,"Paris, FR","Mission

As a Data Scientist, you will have the opportunity to shape the future big data solution landscape for leading Fortune 500 organizations. This position is a senior level customer-facing role that needs deep expertise in Apache Spark along with breadth of big data solution architecture experience. On a weekly basis, you will guide customers through architecture, design and implementation activities while strategically aligning their technical roadmap for expanding the usage of the Databricks platform.

At Databricks we work on some of the most complex distributed processing systems and our customers challenge us with interesting new big data and AI requirements. Data Scientist at Databricks are five-star, self-motivated, rock stars with a history of delivering strong business results in technology and consulting. And since “teamwork makes the dream work” is a fundamental growth value at Databricks, a Data Scientist works internally within a multi-functional team including Account Executives and Customer Success Engineers, all while having a direct channel to the original creators of Apache Spark.

Outcomes
Guide strategic customers as they design and implement Big Data projects ranging from transformations to data science and AI through on-site and remote engagements
Provide technical leadership in a pre-sales and post-sales capacity for customers to support successful understanding, evaluation and adoption of Databricks
Identify and drive new initiatives that enable customers to succeed in turning their data into value
Build reference architectures, frameworks, solutions, how-to’s, and prototypes for customers
Provide escalated level of support for critical customer operational issues
Architect, implement, and/or validate migration of workloads from 3rd party databases and data platforms to Apache Spark.
Evangelize Spark and Databricks across developer community through meetups and conferences
Plan and coordinate with Account Executives, Customer Success Engineers and Solution Architects for expanding the use of Databricks platform within strategic enterprise customers on a weekly basis

Competencies
Deep hands-on technical expertise with Apache Spark
Experience of design and implementation experience in Big Data technologies (Hadoop ecosystem, Kafka, NoSQL databases)
Experience in customer-facing pre-sales, technical architecture or consulting role
Open to travel up to 30% per month
Familiarity with data architecture patterns (data warehouse, data lake, streaming, Lambda/Kappa architecture)
Outstanding verbal and written communication skills; Comfortable with talking up and down the IT chain of command including directors, managers, architects and developers
Passionate about learning new technologies and making customers successful
Excellent presentation and whiteboarding skills
Comfortable coding Python, Scala or Java
Familiarity with AWS/EC2 cloud deployment models (Public vs. VPC)
BS / MS in Computer Science or equivalent
Proven track record within a data platform software vendor in a consulting/services function
Experience working as or with Data Scientists
Experienced with performance tuning, troubleshooting, and debugging Spark and/or other big data solutions
Familiarity with database and analytics technologies in the industry including Data Warehousing/ETL, Relational Databases, or MPP


About Databricks

Databricks’ mission is to accelerate innovation for its customers by unifying Data Science, Engineering and Business. Founded by the original creators of Apache Spark™, Databricks provides a Unified Analytics Platform for data science teams to collaborate with data engineering and lines of business to build data products. Users achieve faster time-to-value with Databricks by creating analytic workflows that go from ETL and interactive exploration to production. The company also makes it easier for its users to focus on their data by providing a fully managed, scalable, and secure cloud infrastructure that reduces operational complexity and total cost of ownership. Databricks, venture-backed by Andreessen Horowitz, NEA and Battery Ventures, among others, has a global customer base that includes Salesforce, Viacom, Shell, and HP. For more information, visit www.databricks.com.

Apache, Apache Spark and Spark are trademarks of the Apache Software Foundation.
Seniority Level
Mid-Senior level
Industry
Computer Software
Employment Type
Full-time
Job Functions
Sales Engineering"
"Data Scientist
Company Name
Verizon Media
Company Location
Paris, FR
Posted Date
Posted 5 days ago
Number of views
1,560 views",Data Scientist,Verizon Media,"Paris, FR","It takes powerful technology to connect our brands and partners with an audience of 1 billion. Nearly half of Verizon Media employees are building the code and platforms that help us achieve that. Whether you’re looking to write mobile app code, engineer the servers behind our massive ad tech stacks, or develop algorithms to help us process 4 trillion data points a day, what you do here will have a huge impact on our business—and the world. Want in? As Verizon’s media unit, our brands like Yahoo, TechCrunch and HuffPost help people stay informed and entertained, communicate and transact, while creating new ways for advertisers and partners to connect. With technologies like XR, AI, machine-learning, and 5G, we’re transforming media for tomorrow, too. We're creators and coders, dreamers and doers creating what's next in content, advertising and technology.

A Little About The Role

The Demand Engineering group is responsible for providing advertising platform solutions for clients around the world. Our team designs and supports many of the systems, tools, and processes that allow for the execution of online advertising campaigns to meet the needs of our clients.

This role will be focused on design and development of AI and ML systems powering actionable insights to our customers to reduce any struggle they may face in managing their campaigns. The role will also require working on improving and simplifying systems, and reducing complexity of user workflows across our platform in order to deliver best in class customer experiences, and ultimately shape the future of advertising.

A Lot About You

You are a skilled Data Scientist who wants to work in a high visibility role and directly impact the productivity of all of our demand engineering platforms. You like to use your data science and engineering skills to produce practical solutions to solve pressing business problems which give our customers a competitive advantage and deliver value to both our customers and the company.

The successful candidates will be those who are curious, quick learners, self-motivated, and creative thinkers. They will be proven hands-on problem solvers and really enjoy applying the state-of-art algorithms to massive amounts of data to search for useful patterns and relationships. They shall have broad knowledge about statistics, machine learning, optimization algorithms, experimental design, and etc. More importantly they will be excellent practitioners of this knowledge, and get enormous satisfaction from implementing their solutions in production and seeing them make a real difference to the business everyday.

What You’ll Be Doing
Collaborate closely with business partners and product team to identify strategic opportunities for applying innovative algorithms to assist advertisers to optimize the ROI of their advertising campaigns
Translate business requirements into well-defined mathematical optimization problems
Exploring data to surface insights and design and develop AI/ML models to solve practical business problems
Quickly prototype model ideas and bring successful ones to production in coordination with the larger engineering team
Evaluate algorithms in theory and experiments
Present findings in reports, presentations
What You Must Have
A passion for AI and Machine Learning with an appetite to continuously learn and a proven track record of successful applications
Strong background and deep understanding in one or more of statistics, stochastic systems, optimization, machine learning, artificial intelligence (deep learning, reinforcement learning, recommendation systems,...)
Advanced degree in Computer Science, Statistics, Applied Mathematics, or a related quantitative field, with 2+ years solid programming experience
Hands-on experience and demonstrated proficiency in designing, developing, debugging and maintaining high quality code in Python using ML and DL libraries
Familiar with distributed computing and big data technology such as Hadoop, Pig, Hive, Spark.
Experience with unit and integration testing and writing clean production-grade code
Solid programming skills in Java.
Skilled in interpersonal communication and relationship. Ability to explain complex analytical concepts to non-experts, and relate it to business problems.
The ability to deliver results in a fast-paced, deadline-driven environment that requires ability to handle multiple tasks simultaneously without compromising quality, and the ability to see the big picture while working on the details.

Verizon Media is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Verizon Media is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. If you need accessibility assistance and/or a reasonable accommodation due to a disability, please submit a request via the Accommodation Request Form ( https://www.verizonmedia.com/careers/contact-us.html ) or call 408-336-1409. Requests and calls received for non-disability related issues, such as following up on an application, will not receive a response.

Currently work for Verizon Media? Please apply on our internal career site.
Seniority Level
Entry level
Industry
Marketing & Advertising Human Resources Management Consulting
Employment Type
Full-time
Job Functions
Engineering Information Technology"
"Data Scientist
Company Name
Datadog
Company Location
Paris, FR
Posted Date
Posted 2 weeks ago
Number of views
1,958 views",Data Scientist,Datadog,"Paris, FR","At Datadog, we’re on a mission to build the best monitoring platform in the world. We operate at high scale—trillions of data points per day—and high availability, providing always-on alerting, visualization, and tracing for our customers' infrastructure and applications around the globe.

Our engineering culture values pragmatism, honesty, and simplicity to solve hard problems the right way. We need you to design and build machine learning-powered products that help our customers learn from their data and make better decisions in real-time.

You will have a fantastic team of data engineers to support you, a collaborative environment to encourage your work, and the best technologies for performing data science at high scale in your toolkit.

Join us to build powerful, intelligent data systems. In a typical week as a Data Scientist, you might:
Present the latest academic research papers to your team.
Research and benchmark the latest algorithms that can be used for our particular use-cases.
Apply machine learning algorithms and statistical techniques to build new product features.
Deploy a new feature to production, instantly affecting customers with your work.
Mentor other data scientists on your team.
Explore and find meaning in extremely high volumes of data.
Investigate and fix a production issue from a service your team owns.


Requirements
You have backend programming experience in one or more languages.
You care about code simplicity and performance.
You have mastered working with data in a language such as Python, R, or Julia.
You can explain complex ideas and algorithms in understandable ways.
You have significant experience applying machine learning to real business problems.
You have a BS/MS/PhD in a scientific field or equivalent experience.
You want to work in a fast, high-growth startup environment and thrive on autonomy.
You are fluent with SQL / relational algebra.

Bonus points
You’ve done data science at high scale with tools like Hadoop and Spark.
You’ve written production data pipelines.
You’re familiar with time series analysis.
Seniority Level
Entry level
Industry
Information Technology & Services Computer Software Internet
Employment Type
Full-time
Job Functions
Engineering Information Technology"
"Data Scientist F/H
Company Name
Fnac Darty
Company Location
Ivry-sur-Seine, FR
Posted Date
Posted 1 day ago
Number of views
238 views",Data Scientist F/H,Fnac Darty,,"Posted by
Michèle RENOUX
Responsable Pôle Recrutement chez Fnac Darty
Send InMail
Intéressé(e) par rejoindre un fleuron français du e-commerce ? Vous souhaitez mettre en oeuvre et développer vos compétences en data science sur des projets à fort impact ? Vous voulez travailler dans une équipe dynamique aussi passionnée que compétente et développer votre carrière ? Alors n'hésitez plus et rejoignez-nous au sein du groupe Fnac-Darty !

Vous serez encadré(e) par le head of data du groupe et vous travaillerez sur des sujets tels que les moteurs de recherche, la recommandation de produits, le scoring d'appétence des utilisateurs, la détection d'anomalies, la segmentation des parcours, et bien d'autres sujets.
Desired Skills and Experience
Ingénieur(e) de formation, spécialisé(e) en data science et en machine learning, seront attendus de votre part rigueur, aisance relationnelle, un fort esprit d'initiative, la volonté d'itérer et d'aller au bout de vos idées, et l'envie de comprendre profondément les métiers du groupe et de contribuer fortement à son développement par vos réalisations.

Nous interagissons tous les mois avec l'essentiel de la population d'un bon nombre de pays sur une gamme de produits, de services et d'événements extrêmement large. Vous travaillerez donc sur des données très riches dans un environnement technologique à la pointe ; en particulier, vous écrirez préférentiellement vos algorithmes en Python (des compétences en C++, Java, js,... sont également les bienvenues) et vous mobiliserez toutes les ressources nécessaires dans des architectures distribuées sur le cloud pour les passer à l'échelle (une expérience en la matière est appréciée mais non nécessaire).
Seniority Level
Mid-Senior level
Industry
Consumer Goods
Employment Type
Full-time
Job Functions
Engineering Information Technology"
"Data Scientist
Company Name
Nickel
Company Location
Charenton-le-Pont, FR
Posted Date
Posted 3 days ago
Number of views
138 views",Data Scientist,Nickel,"Charenton-le-Pont, FR","A Ce Titre, Vous Interviendrez Sur Les Missions Suivantes

En tant que Data Scientist au sein de la direction métiers, vous rejoindrez l'équipe Data.
Assurer la gestion du catalogue des datas, identifier les datas manquantes à collecter et proposer des solutions de collecte. Vérifier la qualité du stockage des datas (qualité, mise à jour...).
Identifier les besoins des différents services sur les indicateurs de suivi, réaliser et maintenir les dashboards standards.
Proposer de nouveaux dashboards et indicateurs.
Former les utilisateurs ""avancés"" sur les outils de reporting / gestion des datas, afin qu'ils soient autonomes pour construire leurs dashboards de suivi d'activité.
Réaliser des analyses avancées pour répondre aux questions de la Direction Générale et des différents services.
Vérifier et contrôler la qualité des dashboards.
Proposer des solutions / outils pour compléter le dispositif Big Data / Data Analysis de Nickel.
Vous êtes titulaire d'un diplôme Bac +5, Master ou diplôme d'Ingénieur spécialisé en data science, informatique, statistiques ou mathématiques.

Vous avez minimum 3 ans d'expérience dans le domaine de la Data. Vous possédez une expertise dans le développement de modèles de machine learning et dans le déploiement d'infrastructures de traitement de données en temps réel. Vous êtes en mesure de gérer des projets Data. Vous maîtrisez les langages R et Python. La connaissance soit de Dataiku soit de Spark vous permettra de mener à bien vos missions

Votre curiosité, votre excellent relationnel et votre esprit de synthèse finiront de nous convaincre.

Votre anglais est courant.
Seniority Level
Entry level
Industry
Computer Software Internet Banking
Employment Type
Full-time
Job Functions
Engineering Information Technology"
"Data Scientist
Company Name
Tinyclues
Company Location
Paris, FR
Posted Date
Posted 3 months ago
Number of views
538 views",Data Scientist,Tinyclues,"Paris, FR","Let us be honest this job title doesn’t make any sense. Yes, it's about data. But, no, it's not truly a science. It's more complicated than that. Driven by a mathematical and software vision of how large E-commerce datasets ought to be processed, Tinyclues has built a powerful data-processing framework, allowing us to
painlessly and securely manipulate large and complex relational datasets
design, benchmark and tune machine-learning algorithms
assemble complex machine-learning strategies, in a few lines of expressive code
package all this into production-ready push-button predictive solutions for our clients

Your exact mission will depend on your skills and background. Typical roles for Data Scientist at Tinyclues include
design and implement new machine-learning algorithms and strategies
feature engineering
benchmark predictive quality and assess business impact
in collaboration with our software team, build new predictive apps and services
address client-specific and business-specific challenges


Requirements
a formal training in machine learning
the desire to build things that are beautiful, robust, and scale
enough curiosity to try things that aren’t taught at school, but enough pragmatism to not waste time on futile stuff
the ability to code your ideas and the ambition to learn the highest methodological standards
a genuine interest for real-world business problems
Seniority Level
Entry level
Industry
Marketing & Advertising Computer Software Internet
Employment Type
Full-time
Job Functions
Engineering Information Technology"
"Data Scientist – WWFO
Company Name
NVIDIA
Company Location
Courbevoie, FR
Posted Date
Posted 3 weeks ago
Number of views
2,368 views",Data Scientist – WWFO,NVIDIA,"Courbevoie, FR","NVIDIA’s deep learning platform has already made a major impact to the field and is broadly used across leading academic institutions, start-ups, and industry, including the world’s largest Internet companies. We need passionate, hard-working and creative people to help us tackle more of these unique opportunities.

NVIDIA’s Worldwide Field Operations (WWFO) team is looking for a Data Science focused Solution Architect with expertise in Machine Learning (ML), Deep Learning (DL) and Data Science platforms. In our Solutions Architecture team, we work with the most exciting computing hardware and software, driving the latest breakthroughs in Analytics and artificial intelligence. We need individuals who can enable customer productivity and develop lasting relationships with our technology partners, making NVIDIA an integral part of end-user solutions. We are looking for someone always thinking about artificial intelligence, someone who can maintain synergy in a fast paced, rapidly evolving field, someone able to coordinate efforts between corporate marketing, industry business development and engineering.

You will be working with the latest HPC architectures coupled with machine learning and Big Data analytics, enabling improved workflows and developing new, differentiated solutions. As a Solutions Architect, you will be the first line of technical expertise between NVIDIA and our customers. Your duties will vary from inventing proof-of-concept demonstrations, to driving relationships with key executives and managers in order to evangelize accelerated computing. Dynamically engaging with developers, scientific researchers, data scientists, IT managers and senior leaders is a meaningful part of the Solutions Architect role and will give you experience with a range of partners and concerns.

What You’ll Be Doing
Develop and demonstrate solutions based on NVIDIA’s state-of-the-art ML/DL, data science software and hardware technologies to customers
Perform in-depth analysis and optimization to ensure the best performance on GPU architecture systems
Work directly with key customers to understand their technology and provide the best solutions
Partner with Engineering, Product and Sales teams to develop, plan best suitable solutions for customers. Enable development and growth of product features through customer feedback and proof-of-concept evaluations
Build industry expertise and become a contributor in integrating NVIDIA technology into Enterprise Computing architectures.
Work closely with customer's data science, ML/DL developers and IT teams

What We Need To See
Excellent written and verbal communication skills in English and French
MS/PhD in Computer Science, Data Science, Electrical/Computer Engineering, Physics, Mathematics, other Engineering fields
5+ years work or research experience with Python, C++ software development
A proven track record of academic and/or industry experience in fields related to machine learning, deep learning and/or data science.
Work experience and knowledge with AI/ML/DL on CV/NLP/Analytics projects using TensorFlow, PyTorch, MxNet, Pandas, XGBoost and/or Scikit-learn.
You are excited to work with multiple levels and teams across organizations (Engineering, Product, Sales and Marketing team)
Capable of working in a rapidly changing environment without losing focus.
Ability to multitask effectively in a fast-paced environment.
Action-oriented with strong analytical and problem-solving skills.
Strong time-management and organization skills for coordinating multiple initiatives, priorities and implementations of new technology and products into very complex projects
You are a self-starter with attitude for growth, passion for continuous learning and sharing findings across the team
Good verbal, written communication, and technical presentation skills

Ways To Stand Out From The Crowd
Development background with NVIDIA software libraries and GPUs, and CUDA optimization experience.
Experience using DevOps technologies such as Docker, Kubernetes, Singularity, etc.
Special skills in large-scale computing and cluster computing (MPI), data center design include high speed interconnect InfiniBand, Cluster Storage and Scheduling related design and/or management experience.
#deeplearning

Industry
Computer Hardware Computer Software Consumer Electronics
Employment Type
Full-time
Job Functions
Engineering Information Technology"
"Data Scientist
Company Name
MyScienceWork
Company Location
Boulogne-Billancourt, Ile-de-France, France
Posted Date
Posted 1 day ago
Number of views
122 views",Data Scientist,MyScienceWork,"Boulogne-Billancourt, Ile-de-France, France","Posted by
Sally Ekanayaka
Marketing and Communications Coordinator
Send InMail
Pour accompagner l'essor de nos nouvelles solutions de gestion des données, nous sommes à la recherche d'un NLP Data Scientist qui renforcera l'équipe IT pour contribuer au développement de nos solutions Sirius et Polaris OS. Si vous êtes passionné des technologies du traitement de texte, de technologies de pointe et du développement logiciel, rejoignez notre équipe jeune, dynamique et ambitieuse.
Employment Type
Full-time"
"Data Scientist
Company Name
Awalee Consulting
Company Location
Région de Paris, France
Posted Date
Posted 1 day ago
Number of views
301 views",Data Scientist,Awalee Consulting,"Région de Paris, France","Posted by
Geraldine NOQUET
Senior Manager Talent Acquisition - Awalee Consulting & Coperneec
Send InMail
Vous êtes Data Scientist, passionné(e) par les études prédictives et l’ensemble des méthodes scientifiques permettant d’extraire la connaissance à partir des données ?
Awalee renforce ses équipes dédiées à la Data Science :

En les rejoignant, vous aurez l’occasion d’intégrer des pôles de recherche au sein de Directions Métier ou de Data Labs, dans un écosystème allant du secteur bancaire et financier à l’ensemble de l’industrie.

Vous serez amené à :

Comprendre précisément les problématiques métier et les traduire de manière analytique.
Identifier, collecter et préparer les données et réaliser une première analyse statistique.
Développer des algorithmes permettant de répondre aux problèmes posés et veiller à leur industrialisation.
Vous communiquerez vos résultats et vos solutions en les confrontant avec les équipes métier. Vous les présenterez si nécessaire en utilisant des techniques de data visualisation.

Vous évoluerez également au sein de la Practice Data Science d’Awalee, et pourrez y développer des études et travaux de recherches innovants.

Profil :

Vous êtes diplomé(e) d’une grande Ecole d’Ingénieur et/ou d’un 3ème cycle universitaire spécialisé en Data Science ou Statistiques appliquées.
Vous justifiez d’une première expérience réussie en tant que Data Scientist ou Data Analyst tous secteurs.
Vous maitrisez les méthodes statistiques et avez appliqué des algorithmes de Machine learning (Supervisé: Régressions, Random Forest, Boosting, Réseaux de Neurones… | Non Supervisé : K-means, K-Medoids, CAH… | Deep learning, NLP).
Vous maîtrisez au moins un des langages de programmation suivants : Python, R, SAS, Scala, SPSS.
Rigoureux et curieux, vous faites preuve d’autonomie et aimez relever de nouveaux challenges scientifiques et techniques.
  APPLY NOW…
Seniority Level
Mid-Senior level
Industry
Banking Management Consulting
Employment Type
Full-time
Job Functions
Consulting Engineering"
