Paris 9e (75),"Apprentissage, Contrat pro",,Alternance - Data Scientist H/F,Malakoff Humanis,- Paris 9e (75),"Contrat
ALTERNANCE
Finalité du poste
Au sein du service DATA, vous participerez à la mise en œuvre des méthodes /techniques de Data science pour répondre à la mise en œuvre d'un produit DATA répondant à une question majeure du métier.
Vos missions
Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
étudier des données disponibles qui permettront de définir les données qui seront utilisées dans l'élaboration du produit data selon les règles de conformité groupe et accord du Data
identifier les données complémentaires à obtenir
récupérer et analyser les données identifées pour le produit data à mettre en œuvre
identifier la problématique des directions métiers pour réaliser le(s) modèle(s) initial(aux) et les évolutions successives répondant à la problématique
élaborer les mécaniques anticipant l'évolution des données utilisées dans les modèles
élaborer les systèmes auto apprenant
élaborer le monitoring des modèles mis en œuvre
modéliser les résultats pour les rendre exploitables par les managers et la direction générale
supporter la direction métier dans la définition des KPI permettant de mesurer la valeur attendue, contribuer a leur analyse et la définition du plan d'action d'améliorations des algorithmes
s'assurer de la mise en place des conditions d'industrialisation sur l'ensemble des dimensions organisationnelle, compétences, outils....
mettre en place la boucle d'apprentissage permettant l'amélioration des algorithmes
Profil recherché
Vous préparez un Bac+5 en alternance dans le domaine de la Data Science, Mathématiques appliquées, statistiques et informatiques, ou de type écoles d'ingénieurs.
Vous connaissez les enjeux des directions métiers assurance.
Vous avez une appétence forte pour la gestion des données. Et une première expérience en data science et en particulier en machine Learning.
Vous connaissez les environnement Big Data.
Vous aimez travailler en équipe et êtes un bon communiquant (écrit et oral). Vous avez des capacités d'écoute et d'analyse ainsi qu'un sens du contact, une disponibilité et une réactivité.
La connaissance des outils d'analyse de données, d'exploration de données et de la programmation ainsi que de R et Python seraient un plus"
Nanterre (92),,,Data Scientist confirmé H/F,METRO,- Nanterre (92),"DESCRIPTION DU POSTE
Vos challenges :
Proposer et exécuter des méthodes d’analyses (simples ou complexes), en assurant l’uniformisation (interprétation unique) des résultats dans différents domaines. Connaissances clients/produits/fournisseurs : - Définir les indicateurs et mettre en œuvre les outils de pilotage en collaboration avec les services concernés - Mettre en œuvre et garantir la modélisation statistique des données clients (pour développer les segmentations clients, caractériser le cycle de vie des clients, développer des algorithmes d’apprentissage et scénarii prédictifs des comportements clients). - Proposer le développement de levier de création de valeur client (optimisation des assortiments, modèles d’efficacité op, test de performance) Analyser et optimiser des campagnes et opérations commerciales avec les services concernés : - Définir les critères de ciblage des campagnes de marketing direct afin d’optimiser les investissements, et la pression commerciale. - Définir les indicateurs de mesure et d’analyse de la performance des opérations commerciales, quantifier le CA additionnel généré et mesure le ROI.Identifier et rassembler l’ensemble des sources de données structurées (transactionnelles) ou non structurées (qualitatives, relation client, commentaires sur réseaux sociaux) nécessaires pour l’appropriation et l’exploitation de la donnée (client, produit & fournisseur) : - Etudier et mettre en place les meilleures solutions techniques pour gérer les grands volumes de données, en collaboration avec le pôle « BI » de la DSI. - Tester, contrôler et valider la qualité et la cohérence des données pour une correcte exploitation.
CANDIDAT
Votre profil :
Diplômé d'une école d'ingénieur ou d'un Master en statistique et informatique décisionnelle, économétrie. Vous justifiez d'une expérience réussie et signification de 3 à 5 ans minimum dans la valorisation des données clients.
Une première expérience en management est requise.
Une expérience dans le retail serait un plus. Compétences en R, Python, Tableau, QlikView et SQL.
DÉTAILS
Informations complémentaires
- Statut Cadre- Rémunération sur 13 mois + variable + intéressement + participation - Remise sur les achats- Perspectives d'évolution au sein d'un grand groupe international"
Paris (75),,,DATA analyste informatique (F/H),ACCEO CONSULTING,- Paris (75),"Actuellement, au sein des équipes BIG DATA et Machine learning de notre client, grande entité bancaire, l’objectif au quotidien est d’acquérir une expertise sur l’ensemble des informations liées aux données marketing et commercial des différentes entités, c’est pourquoi nous recherchons un(e) :

DATA ANALYST (F/H)

Vos principales missions :
Mise en place d’un dictionnaire de données / catalogue, à disposition des chefs de projets et des data scientists afin de les aider, lors de la mise en place de projets BIG DATA ou machine learning.
Manipulation, analyse et mise à disposition des données collectées.
Reporting
Vous serez également en charge de toutes les demandes liées à l’exploitation des données

Votre Profil :
Issu(e) d’une formation supérieure de type BAC + 5 en informatique, statistiques ou en big data, vous avez acquis une expérience de minimum 3 ans dans le traitement et l’analyse de données dans un environnement bancaire.

Pour ce poste, ous recherchons un profil avec un très bon relationnel pouvant communiquer aisément entre les différents services et interlocuteurs.

A l’aise dans la transmission des informations, vous avez aussi une réelle appétence pour manier les données.

Bon communiquant, vous avez un sens du service développé."
Paris (75),Stage,,DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN,Joko,- Paris (75),"DESCRIPTIF DU POSTE
Tu seras responsable du développement d'algorithmes de Machine Learning et de la réalisation d'analyses de données avancées. Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs. Selon sa nature, un accent “recherche” pourra être donné au stage (avec notamment des possibilités de publications).
Voici une liste non-exhaustive des missions possibles durant le stage :
Tu travailleras au développement et à la constante amélioration des algorithmes de recommandation d'offres au sein de l'application, afin d'offrir l'expérience la plus personnalisée possible à nos utilisateurs.
Tu participeras à la continuelle évolution des algorithmes permettant de qualifier le plus précisément possible la donnée brute envoyée par les banques.
Tu réaliseras des analyses de données avancées afin d'appuyer la prise de décisions et la stratégie des équipes commerciales et des équipes produits.
Tu participeras à toutes les étapes du processus de développement, depuis la modélisation des problèmes jusqu'au déploiement des modèles en production.
PROFIL RECHERCHÉ
Tu as le profil idéal si :
Tu es autonome, créatif et tu sais gérer ton temps et ta to-do comme personne
Tu as de bonnes connaissances dans différents domaines du Machine Learning
Tu es un expert en Python
Tu sais résoudre des problèmes complexes et abstraits
Tu as éventuellement déjà travaillé avec des séries temporelles et des réseaux de neurones récurrents, ou tu es familier avec des algorithmes d'analyse de graphe
Tout ce que tu pourras apporter d'autre sera le bienvenu, c'est important pour nous de constituer une équipe aussi diverse que possible en termes d'expériences, de cultures, de passions, etc.
INFORMATIONS COMPLÉMENTAIRES
Type de contrat : Stage (4 à 6 mois)
Date de début : 10 août 2020
Lieu : Paris, France (75001)
Télétravail total possible"
Paris 9e (75),"Temps plein, CDI",,Data Scientist H/F,NEOBRAIN,- Paris 9e (75),"Neobrain développe des solutions digitales intuitives pour aider l’Homme à gérer sa carrière dans un monde en pleine mutation. Orientation professionnelle, gestion de carrière, recrutement, nous intégrons l’intelligence artificielle en support de l’Homme pour le centrer sur son cœur de métier. Créé en 2018, Neobrain compte déjà une trentaine de clients (grands comptes) et 2 bureaux (Lisbonne et Paris).
L'équipe de Data Science de Neobrain applique l'apprentissage machine learning à divers problèmes liés au domaine des ressources humaines. En tant que Data Scientist au sein de cette équipe, tu travailleras en étroite collaboration avec des data engineers et des développeurs pour prendre en charge des problèmes réels en matière de ressources humaines.
Le cadre réel de ce travail signifie qu'il y a beaucoup de data à explorer, à développer des algorithmes de PNL et de voir l'impact réel de ton travail sur la vie professionnelle des utilisateurs finaux. La complexité et l'ampleur des problèmes exigent des solutions véritablement innovantes. En tant que tel, tu continueras à bénéficier d'une grande liberté car notre objectif est de te permettre de développer des idées innovantes.
Un Data Scientist de ce groupe peut être issu de la reconnaissance vocale ou du traitement du langage naturel, mais il peut aussi venir d'un apprentissage machine plus général.
Si tu souhaites être autonome, évoluer au sein d'une équipe engagée, dynamique et motivée, occuper une position clé dans le développement de l'entreprise, nous sommes impatients de te rencontrer !
Tes missions
* Mener des recherches appliquées ciblées pour aider à résoudre des problèmes difficiles dans le domaine des ressources humaines
* Identifier les opportunités commerciales et opérationnelles pour générer de la valeur grâce à des solutions intelligentes
* Concevoir, mettre en œuvre, évaluer et optimiser des algorithmes et des modèles de PNL qui conduisent à une amélioration des performances des applications Neobrain dans des scénarios du monde réel
* Utiliser des techniques efficaces de représentation de texte et des algorithmes de classification
* Réaliser des études empiriques de la précision des algorithmes sur de grands ensembles de données
* Développer une large base de code, par la conception, la révision, la maintenance et la collaboration avec des codes externes
* Développer des processus de collecte de données à grande échelle sur le web à partir de différentes sources afin de développer des ensembles de données à l'usage des membres de l'équipe
* Créer ou mettre à jour la documentation et les rapports si nécessaire
* Proposer, concevoir et construire des outils réutilisables pour favoriser une interaction et une expansion rapides
* Partager la connaissance, chez Neobrain l'apprentissage fait partie de nos valeurs fondatrices. Tu devras documenter ton expertise en combinant études de marché, entretiens, analyses et suivi méthodologique
Profil recherché
Tu es un expert en Python, SQL, tu as des connaissances en statistiques et en machine learning
Tu connais Docker, Git, Tensorflow ou Pythorch
Tu es propriétaire de tes projets : tu prends l'initiative, tu es flexible et autonome, et tu fais preuve d'une grande rigueur
Tu es une personne de confiance
Tu es synthétique, clair et as de bonnes capacités de communication
Tu as une courbe d'apprentissage très élevée, tu es capable de t'adapter à un écosystème en constante évolution et apprends très rapidement à garder une longueur d'avance
Tu as l'esprit d'équipe : tu a de bonnes qualités relationnelles, aimes le partage et les défis
Tu sais faire preuve d'empathie
Travailler dans une start-up en pleine expansion te motive tout particulièrement !
Avoir un impact sur la vie des utilisateurs te motive constamment
Encore une chose ?
Nous sommes constamment à la recherche de talents. Si tu penses avoir les compétences nécessaires pour nous rejoindre, nous sommes heureux de lire les candidatures spontanées.
Nous nous engageons à offrir un environnement de travail exigeant, mais dans la bonne humeur et la bonne volonté.
Tu participeras à l'élaboration d'un projet collectif passionnant, comportant de grands défis.
Nos bureaux sont situés à Notre-Dame de Lorette dans le 9ème arrondissement de Paris et tu seras couvert par Alan, l'assurance maladie 2.0 : ), bien sûr nous te fournirons un ordinateur portable.
Tu as la possibilité de travailler à Paris ou à Lisbonne.
Engagés dans un processus d'intégration très inclusif, nous examinons avec le même intérêt toutes les candidatures sans différenciation.
Type d'emploi : Temps plein, CDI
Expérience:
data scientist h/f : 2 ans (Souhaité)
Langue:
Anglais (Requis)
Télétravail:
Temporairement en raison du COVID-19"
Boulogne-Billancourt (92),"Apprentissage, Contrat pro",,Alternant(e) Data Scientist H/F,TF1,- Boulogne-Billancourt (92),"Type de contrat:
CDD Profession.

Métier:
Digital, Data, Développement web

Société:
TF1 SA

Faisons connaissance
Première chaîne de télévision généraliste française, le Groupe TF1 ne compte pas que ses chaînes.

En effet, TF1 a engagé depuis plus de 25 ans une diversification de ses activités et est devenue un groupe de communication intégré qui développe au-delà de son cœur de métier, des activités sur des segments porteurs tels que la production audiovisuelle, le digital, la télévision payante, le e-commerce mais aussi l'exploitation de salles et la production de spectacles, les licences et les jeux.

Au sein de la Direction Innovation et Digital, l’équipe Data & Analytics renforce la stratégie globale de groupe TF1 avec un objectif principal : la création de valeur à partir des données collectées.

A ce titre l’équipe Data & Analytics accompagne toutes les directions métiers et développe des outils innovants et des modèles algorithmiques qui permettent d’optimiser l’expérience client, de piloter la performance et de monétiser les données en déployant en production différents projets stratégiques, à forte visibilité.
Votre rôle au sein de l’équipe
Au sein de l’équipe DATA, vous aurez pour missions de développer les outils statistiques et informatiques du DataLake.

Vous apporterez vos connaissances dans le traitement et l’agrégation de données provenant de sources variées et hétérogènes (logs techniques, bases CRM, études, réseaux sociaux, données marché,…). Egalement, vous aurez pour mission de mettre en place des processus d’alimentation de données dans l’optique de création de modèles statistiques dans le cloud (Microsoft Azure).

Tout au long de l’année, vous serez amené(e) à :
Approfondir les nouvelles techniques de traitements des plateformes big data
Mettre en place des alimentations de données dans le but de statistiques
Intégrer les données en base grâce aux différents outils de manipulation de données
Développer des rapports simples en Tableau

Localisation du poste
Lieu de travail : Boulogne Billancourt
Vos atouts pour faire la différence
Etudiant(e) en fin de cycle informatique et BigData, datascience ou équivalent
Rigoureux(se), vous avez un bon esprit de synthèse et un raisonnement structuré
Vous avez des connaissances en : Python / SQL / Machine Learning"
Suresnes (92),CDI,,Data Scientist F/H,KERTIOS CONSULTING,- Suresnes (92),"Le Data Scientist a pour mission le traitement et la valorisation de données massives. Il est à la fois analyste statisticien et informaticien et a pour mission d’apporter des informations aux métiers en structurant et en manipulant habilement les données complexes du Big Data.

Si vous souhaitez…

Travailler au sein d’une Direction Métier (Digital, Marketing, Risques et Actuariat) d’une Banque ou d’une Assurance,

Réaliser des études quantitatives et qualitatives (offres produits et tarification, analyse de campagnes, …) visant à améliorer la connaissance client et piloter les actions commerciales

Participer à des projets d’envergure, à forte valeur ajoutée

Alors pourquoi pas vous ?
Profil recherché Vous aimez travailler dans un environnement stimulant et challengeant ? Vous possédez d’excellentes capacités d’analyse, de synthèse et le travail en équipe est votre point fort ?

De formation Bac+5 en école d’ingénieur ou parcours universitaire en analyse statistiques ou économétrie, vous êtes dotés d’une forte sensibilité marketing.

La maitrise de certains des outils suivants seront un atout pour le poste :

Data Viz / Data Prep : Tableau Software, Qlik Sense, Microsoft Power BI, Data IKU, Alteryx, …

Reporting et décisionnels : IBM Cognos, SAP BO, langage SQL, …

Statistiques et langage de manipulation : SAS, Python, R, SPSS, …

Python : ⭐⭐⭐

Maths et Stats : ⭐⭐⭐⭐

Data viz : ⭐⭐⭐⭐

N’hésitez plus, rejoignez-nous !
Entreprise KERTIOS

est une société de conseil en management et en informatique, spécialisée dans la gestion du capital humain et la mise en œuvre d'applications packagées. Nos clients sont des entreprises internationales prêtes à transformer leurs processus pour atteindre les meilleures pratiques dans leur domaine. Notre accompagnement se fait dans toutes les phases de leur transformation, de la stratégie à la mise en œuvre.

Les ""Plus"" KERTIOS Consulting :
Développer une triple compétence : métier, projet et système d’information en évoluant au cœur de projets complexes et ambitieux, accompagné par nos consultants seniors experts

Evoluer au sein d’une société qui exige le meilleur de ses collaborateurs tout en cultivant la cohésion et l’esprit d’équipe"
La Défense (92),"Temps plein, CDI",,Data SCIENTIST,Kaisens Data,- La Défense (92),"Kaisens Data est un éditeur logiciel spécialisé(e) en Data Science/Big Data et Machine Learning avec une branche de conseil. Nous recherchons un data scientist qui aura pour missions :
-Participer à l’élaboration des modules machine Learning pour des projets prédictifs dans un contexte Big Data.
- Adapter les outils de traitement statistique de données
- Présenter et diffuser les résultats des études réalisées
- Management d'équipe ou de projet selon sa séniorité
Profil recherché
-Maîtrise d'un langage d'analyse de données R, Python ou Spark et une bonne compréhension des structures de données
-Bon niveau gestion des bases de données relationnelles (SQL) idéalement connaissance en NoSql.
-Des compétences en gestion de projet seront également appréciées.
-Connaissances en Text Mining seront très apprécies
Avantages
-Un cadre de travail agréable, une rémunération selon le profil
-Participation à des projets à haute valeur ajoutée avec des technologies récentes
-plusieurs possibilités d'évolution de carrières
Type d'emploi : Temps plein, CDI"
Courbevoie (92),CDI,,Data Scientist H/F,DIANE CONSULTING,- Courbevoie (92),"Diane Consulting est un cabinet de conseil à taille humaine créé il y a 11 ans et spécialisé dans le domaine de la Data.
Nous accompagnons des grands groupes sur la conception, l'audit, le développement de solutions BI & Big Data: Société Générale, EDF, Arval Trading, Saint Gobain, ClearChannel, RATP, ...
Dans le cadre de notre développement, nous recherchons un Data Scientist H/F pour accompagner notre développement chez un de nos clients.
Les compétences requises pour la mission sont :
Maîtrise de la programmation Python ou R
Maitrise de GIT
Maitrise des langages ou libraires de data visualisation
Expérience de méthodes de modélisation, de machine learning
Capacité à travailler dans des environnements Linux, Hadoop
Rigueur, autonomie, bonnes capacités rédactionnelles.
Profil :
Minimum 2 ans d’expérience dans le domaine
Connaissance Python / Machine Learning / GIT
Analyse de données
Lieu : Courbevoie
Type d'emploi : CDI
Expérience:
data scientist h/f ou similaire: 3 ans (Souhaité)"
La Défense (92),,,Stagiaire Data Scientist,Kaisens Data,- La Défense (92),"Kaisens data est éditeur logiciel spécialisé en Data science / Machine Learning / TextMining et possédant une branche de conseil, recherche un stagiaire en Data Science (H/F).
Actuellement en formation dans une école d’ingénieurs en informatique, à l’université ou dans une école avec une spécialisation en informatique, Data Science ou Big Data, vous cherchez un stage de fin d’étude.
Missions :
-Assurer une veille technologique sur les solutions Big Data.
-Participation aux expérimentations Big Data menées en interne ou chez nos clients
- Conseiller sur les meilleurs choix techniques en fonction des cas d'usages.
-Concevoir et développer des solutions Big Data industrialisées
-Assurer le suivi, les tests et la qualité des développements réalisés.
Qualités requises :
- Solide socle technique (BI / Big Data / Traitement de la donnée/Analyse textuelle)
- Autonomie, initiative et sens de la pédagogie
- La maitrise, à minima, de l’un des langages suivants est un pré requis : Java, Scala, Python
Type d'emploi : Temps plein
Télétravail:
Temporairement en raison du COVID-19"
