salary,overOneMounth,,Apprentissage,CDD,CDI,Freelance,Intérim,business intelligence,data analyst,data engineer,data scientist,développeur,Bordeaux,Lyon,Nantes,Paris,Toulouse
,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18468.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
62500.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
550.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
576.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
850.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
36000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
15600.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42500.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
750.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
420.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
750.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46000.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27500.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48000.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
40000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
43500.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
950.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
